PUBLICATION NAME,URL,PUB COUNTRY,Media Cloud ID," SimilarWeb, total visits Oct 19 - Dec 19 ", # Stories 2019 , MC Notes ," Sample Size Needed (95% conf, 2% MOE) "
NDTV,http://www.ndtv.com/,India,17973," 471,600,000 "," 94,151 ",Missing data from March-April,2341
India Today,http://indiatoday.intoday.in/,India,67799," 274,100,000 "," 55,036 ",,2301
The Times of India,http://timesofindia.indiatimes.com/,India,39784," 190,600,000 "," 221,121 ",Dip but not missing in March-April,2375
Hindustan Times,http://www.hindustantimes.com/,India,39872," 156,300,000 "," 75,935 ",,2327
The Indian Express,http://indianexpress.com/,India,56899," 114,300,000 "," 91,590 ",,2340
Mint,http://www.livemint.com/,India,56177," 99,310,000 "," 35,564 ",Missing data January-February,2249
Economic Times,http://economictimes.indiatimes.com/,India,41238," 86,660,000 "," 96,292 ",Dip but not missing in March-April,2343
The Hindu,http://www.thehindu.com/,India,40306," 82,090,000 "," 147,101 ",Dip but not missing in March-April,2362
Firstpost.com,http://www.firstpost.com/,India,28777," 51,800,000 "," 93,404 ",Dip but not missing in March-April,2341
Financial Express,http://www.financialexpress.com/,India,39886," 37,940,000 "," 58,126 ",Missing on one date - April 2,2306
Business Standard,http://www.business-standard.com/,India,19341," 24,690,000 "," 335,936 ",,2384
Deccan Chronicle,http://www.deccanchronicle.com/,India,121578," 13,700,000 "," 22,664 ",,2171
The New Indian Express,http://www.newindianexpress.com/,India,100063," 12,240,000 "," 147,046 ",Missing on several dates,2362
DNA,http://www.dnaindia.com/,India,65929," 8,566,000 "," 48,784 ", ,2288
Outlook,http://www.outlookindia.com/,India,69105," 6,264,000 "," 3,471 ",Missing on many dates,1419
The Asian Age,http://www.asianage.com/,India,88351," 2,887,000 "," 19,589 ",Missing on several dates,2139
The Week,http://week.manoramaonline.com/,India,125190," 2,884,000 "," 9,755 ",Missing on many dates,1927
The Daily Nation,http://www.nation.co.ke/,Kenya,63215," 29,930,000 "," 31,221 ",Missing on on date - February 7,2230
The Standard,http://www.standardmedia.co.ke/,Kenya,59038," 26,250,000 "," 44,915 ",Missing on several dates,2279
Nairobi News,http://nairobinews.nation.co.ke,Kenya,106915," 6,218,000 "," 6,014 ",Missing on many dates,1716
Business Daily,http://www.businessdailyafrica.com/,Kenya,41687," 4,991,000 "," 8,222 ",,1859
Mpasho News,https://mpasho.co.ke,Kenya,299830," 2,905,000 "," 5,710 ",Missing several days in January,1690
Kenyan Post,http://www.kenyan-post.com,Kenya,106874," 1,998,000 "," 13,632 ",Missing two dates in March,2042
The East African,http://www.theeastafrican.co.ke/,Kenya,59728," 1,471,000 "," 5,649 ",,1685
Capital News,ttp://www.capitalfm.co.ke/news,Kenya,106918," 1,111,000 "," 5,433 ",,1665
All Africa (MC: Kenya Feeds),http://allafrica.com/kenya/,Kenya,106920," 5,424,000 "," 12,620 ",HAL,2017
Kahawa Tungu,http://www.kahawatungu.com,Kenya,106906," 2,411,000 "," 6,006 ",HAL,1715
The Nation Online,http://thenationonlineng.net/,Nigeria,144730," 24,390,000 "," 39,488 ",Missing on one date - April 1,2263
Vanguard,http://www.vanguardngr.com/,Nigeria,62171," 23,010,000 "," 53,303 ",Missing on several dates,2298
Pulse,http://pulse.ng/,Nigeria,143546," 15,580,000 "," 23,810 ",Missing on several dates,2181
Information Nigeria,http://informationng.com/,Nigeria,144805," 12,330,000 "," 21,574 ",,2161
PM News,http://pmnewsnigeria.com/,Nigeria,18021," 11,630,000 "," 29,940 ",,2223
This Day,http://www.thisdaylive.com/,Nigeria,41605," 6,612,000 "," 21,597 ",Missing several dates,2161
All Africa (MC: Nigeria Feeds),http://allafrica.com/,Nigeria,299178," 5,424,000 "," 15,478 ",,2079
Latest Nigerian News,http://www.latestnigeriannews.com/,Nigeria,295688," 3,054,000 "," 1,142,696 ",Missing data January-February,2396
Today,https://www.today.ng/,Nigeria,271661," 1,687,000 "," 53,205 ",Missing on one date - July 2,2297
Leadership,http://leadership.ng/,Nigeria,92526," 1,293,000 "," 25,059 ",Missng October - December; HAL - high priority,2191
IOL,http://www.iol.co.za/,South Africa,42228," 39,900,000 "," 69,968 ",Missing data from March-April,2321
Business Times,http://www.timeslive.co.za/sundaytimes/businesstimes/,South Africa,38799," 27,300,000 "," 23,650 ","Missing two dates - February 4, November 3",2180
Daily Maverick,http://www.dailymaverick.co.za/,South Africa,85940," 7,751,000 "," 9,824 ",,1930
eNCA,http://www.enca.com/south-africa,South Africa,122276," 6,158,000 "," 7,413 ","Missing two dates - February 4, November 3",1814
Mail & Guardian,http://mg.co.za/,South Africa,40262," 4,027,000 "," 4,078 ",,1511
SABC,http://www.sabc.co.za/wps/portal/SABC/SABCHOME,South Africa,31510," 880,925 ", 325 ,Missing on many dates,286
BBC,http://www.bbc.co.uk/,United Kingdom,1094," 1,641,000,000 "," 94,201 ",,2341
The Daily Mail/ Mail on Sunday,http://www.dailymail.co.uk/,United Kingdom,301169," 1,012,000,000 "," 85,767 ",Missing data from March-April,2336
The Guardian,http://www.theguardian.com/,United Kingdom,305188," 800,400,000 "," 18,664 ",Missing data from March-April,2127
Daily Express,http://www.express.co.uk/,United Kingdom,26799," 499,900,000 "," 138,972 ",Missing data from March-April,2360
The Sun,http://www.thesun.co.uk/sol/homepage/,United Kingdom,1754," 363,900,000 "," 124,442 ",Missing several days in March,2356
The Independent,http://www.independent.co.uk/,United Kingdom,41150," 292,400,000 "," 65,416 ",,2316
The Telegraph/Sunday Telegraph,http://www.telegraph.co.uk/,United Kingdom,1750," 198,100,000 "," 3,462 ",,1418
Nature,http://www.nature.com/,United Kingdom,27538," 72,740,000 "," 34,698 ",,2246
ITV News,http://www.itv.com/news/,United Kingdom,622836," 71,480,000 "," 15,182 ",,2073
The Financial Times,http://www.ft.com/,United Kingdom,18886," 60,850,000 "," 4,589 ",,1577
The Times,http://www.thetimes.co.uk/,United Kingdom,42689," 56,940,000 "," 3,506 ",Missing many dates,1425
The Evening Standard,http://www.standard.co.uk/,United Kingdom,68737," 52,230,000 "," 56,058 ",,2302
Channel 4 News,http://www.channel4.com/news/uk,United Kingdom,71000," 42,980,000 "," 3,142 ",Missing many dates,1361
CNN,http://www.cnn.com/,United States,1095," 1,606,000,000 "," 65,211 ",,2316
FOX News,http://www.foxnews.com/,United States,1092," 988,000,000 "," 77,293 ",,2329
New York Times,http://www.nytimes.com/,United States,1," 738,100,000 "," 61,253 ",,2310
The Washington Post,http://www.washingtonpost.com/,United States,2," 450,500,000 "," 106,484 ",Missing data in March-April,2348
Buzzfeed,http://www.buzzfeed.com/,United States,6218," 439,600,000 "," 38,202 ",,2259
USA Today,http://www.usatoday.com/,United States,4," 366,600,000 "," 102,300 ",,2346
Forbes,http://www.forbes.com/,United States,1104," 356,200,000 "," 103,049 ",,2346
CNBC,http://www.cnbc.com/,United States,1755," 292,300,000 "," 66,814 ",,2318
NBC,http://www.nbcnews.com/,United States,34663," 214,700,000 "," 20,565 ",,2150
NPR,http://www.npr.org/,United States,1096," 197,900,000 "," 24,086 ",Missing data in March-April,2183
Breitbart,http://www.breitbart.com/,United States,19334," 173,300,000 "," 34,730 ",,2246
The Hill,http://thehill.com/,United States,18364," 153,100,000 "," 28,411 ",,2214
The Wall Street Journal,http://online.wsj.com/,United States,1150," 149,600,000 "," 52,223 ",,2296
Politico,http://www.politico.com/,United States,18268," 140,900,000 "," 14,983 ",,2070
CBS,http://www.cbsnews.com/,United States,1752," 127,000,000 "," 37,729 ",,2257
The Daily Beast,http://www.thedailybeast.com/,United States,1707," 126,300,000 "," 13,740 ",,2044
Los Angeles Times,http://www.latimes.com/,United States,6," 114,400,000 "," 50,711 ",,2293
ABC,http://abcnews.go.com/,United States,39000," 110,300,000 "," 71,409 ",Missing data March-April,2323
Vox,http://www.vox.com/,United States,104828," 96,330,000 "," 8,369 ",Missing data several days,1866
The Atlantic,http://www.theatlantic.com/,United States,1110," 96,330,000 "," 7,517 ",,1820
News South Africa,http://www.news.co.za/,South Africa,623419," 165,975 "," 178,600 ",Missing several days; Hal - high priority,2369
Eyewitness News (EWN),http://ewn.co.za/,South Africa,107855," 16,790,000 "," 27,797 ",,2210
The Citizen,http://citizen.co.za/,South Africa,108262," 17,250,000 "," 18,135 ",Missing some data January - April; Hal - high priority,2120
Sowetan Live,http://www.sowetanlive.co.za/,South Africa,86467," 13,080,000 "," 21,121 ",Missing several dates; Hal - high priority,2156
The Economist,http://www.economist.com/,United Kingdom,1106," 31,820,000 "," 5,767 ",,1695
